Age,Income,Purchases,Membership,Churn
56,358.20000000000005,1,Month-to-month,No
46,683.4000000000001,34,One year,No
32,646.2,2,Month-to-month,Yes
60,507.59999999999997,45,One year,No
25,848.4000000000001,2,Month-to-month,Yes
38,1195.8000000000002,8,Month-to-month,Yes
56,1069.1999999999998,22,Month-to-month,No
36,357.0,10,Month-to-month,No
40,1257.6,28,Month-to-month,Yes
28,673.8,62,One year,No
28,599.4000000000001,13,Month-to-month,No
41,227.39999999999998,16,Two year,No
53,1204.1999999999998,58,One year,No
57,1244.4,49,Month-to-month,Yes
41,1266.0,25,Month-to-month,No
20,1359.0,69,Two year,No
39,247.79999999999998,52,One year,No
19,1280.4,71,Two year,No
41,662.4000000000001,10,Month-to-month,Yes
61,1080.6,21,Month-to-month,No
47,475.79999999999995,1,Month-to-month,Yes
55,237.60000000000002,12,One year,No
19,241.79999999999998,1,Month-to-month,Yes
38,718.8,58,Two year,No
50,715.2,49,Month-to-month,No
29,663.5999999999999,30,Month-to-month,No
39,1192.1999999999998,47,Month-to-month,Yes
61,362.4,1,Month-to-month,Yes
42,1083.0,72,Two year,No
44,776.4000000000001,17,Month-to-month,Yes
59,1156.1999999999998,71,Two year,No
45,1146.0,2,Month-to-month,No
33,793.8000000000001,27,One year,No
32,242.39999999999998,1,Month-to-month,No
64,543.0,1,Month-to-month,No
61,1198.8000000000002,72,Two year,No
20,836.4000000000001,5,Month-to-month,Yes
54,897.5999999999999,46,Month-to-month,No
24,1276.1999999999998,34,Month-to-month,Yes
38,1174.1999999999998,11,Month-to-month,Yes
26,594.5999999999999,10,One year,No
56,830.4000000000001,70,Two year,No
35,249.0,17,One year,No
21,958.1999999999999,63,Two year,No
42,914.4000000000001,13,Month-to-month,No
31,1014.0,49,Month-to-month,No
26,591.0,2,Month-to-month,No
43,967.8000000000001,2,Month-to-month,Yes
19,957.0,52,Two year,No
37,769.8000000000001,69,Two year,No
45,1083.0,43,Month-to-month,No
64,1189.1999999999998,15,Month-to-month,Yes
24,834.0,25,Month-to-month,No
61,967.8000000000001,8,Month-to-month,Yes
25,898.1999999999999,60,One year,No
64,1145.4,18,Month-to-month,Yes
52,1195.8000000000002,63,One year,No
31,1301.4,66,One year,No
34,299.4,34,Two year,No
53,1290.0,72,Two year,No
57,1206.0,47,Month-to-month,No
21,1078.8000000000002,60,Month-to-month,No
19,505.20000000000005,72,Two year,No
23,652.8,18,One year,No
59,1132.8000000000002,9,Month-to-month,Yes
21,903.5999999999999,3,Month-to-month,No
46,946.8000000000001,47,One year,No
35,950.4000000000001,31,Two year,No
43,241.79999999999998,50,Two year,No
61,958.1999999999999,10,Month-to-month,No
51,588.5999999999999,1,Month-to-month,No
27,244.79999999999998,52,One year,No
53,1339.1999999999998,64,Two year,No
31,291.0,62,Two year,No
48,774.0,3,Month-to-month,No
32,1326.0,56,One year,No
25,667.8,46,One year,No
31,655.8,8,Month-to-month,No
40,897.0,30,Month-to-month,No
57,310.79999999999995,45,One year,No
38,952.1999999999999,1,Month-to-month,Yes
33,606.5999999999999,11,Month-to-month,No
62,901.8000000000001,7,Month-to-month,Yes
35,1245.6,42,Month-to-month,No
64,241.79999999999998,49,Two year,No
41,1191.6,9,Month-to-month,No
43,745.8,35,One year,No
42,247.79999999999998,48,Two year,No
62,239.39999999999998,46,Two year,No
58,405.0,29,Month-to-month,No
46,984.5999999999999,30,Month-to-month,No
32,896.4000000000001,1,Month-to-month,No
62,1008.0,66,Two year,No
18,1332.6,65,Month-to-month,No
42,1210.8000000000002,72,Two year,No
24,947.4000000000001,12,Month-to-month,Yes
26,802.1999999999999,71,One year,No
41,252.60000000000002,5,Month-to-month,Yes
18,252.0,52,Two year,No
61,1182.0,25,Month-to-month,Yes
25,242.39999999999998,1,Month-to-month,No
41,233.39999999999998,1,Month-to-month,No
28,1140.0,38,One year,No
34,546.5999999999999,66,One year,No
25,1320.0,68,Two year,Yes
52,291.6,5,Month-to-month,No
52,1249.8000000000002,72,One year,No
50,361.79999999999995,32,One year,No
22,1132.1999999999998,43,One year,No
59,232.79999999999998,72,Two year,No
56,1161.0,55,Month-to-month,Yes
58,695.4000000000001,52,One year,No
45,1099.8000000000002,43,Month-to-month,No
24,918.0,37,Month-to-month,Yes
26,655.2,64,Two year,No
25,1078.1999999999998,3,Month-to-month,No
29,372.6,36,Two year,No
51,1203.0,10,Month-to-month,Yes
50,247.79999999999998,41,Two year,No
40,1022.4000000000001,27,Month-to-month,No
41,1197.6,56,One year,No
54,248.39999999999998,6,Month-to-month,No
52,892.8000000000001,3,Month-to-month,Yes
61,608.4000000000001,7,Month-to-month,No
57,250.20000000000002,4,Month-to-month,No
39,1067.4,33,Two year,No
44,936.5999999999999,27,Month-to-month,Yes
52,282.6,72,Two year,No
18,237.0,1,Month-to-month,No
52,677.4000000000001,71,One year,No
54,1031.4,13,Month-to-month,No
64,703.2,25,Month-to-month,Yes
31,606.5999999999999,67,Two year,No
20,425.40000000000003,1,Month-to-month,Yes
18,532.2,2,Month-to-month,Yes
22,308.4,43,Two year,No
43,900.0,23,Month-to-month,No
31,242.39999999999998,64,Two year,No
56,235.20000000000002,57,Two year,No
44,845.4000000000001,1,Month-to-month,Yes
26,1056.6,72,Two year,No
32,853.8000000000001,8,Month-to-month,Yes
32,1212.6,61,Two year,No
43,1011.5999999999999,64,One year,No
59,287.4,71,Two year,No
30,1188.6,65,Two year,No
49,235.20000000000002,3,One year,No
56,547.8,1,Month-to-month,Yes
49,774.0,30,One year,No
21,834.0,15,Month-to-month,No
47,822.5999999999999,8,Month-to-month,No
54,1140.0,7,Month-to-month,Yes
40,1297.8000000000002,70,One year,No
56,1033.1999999999998,62,Two year,No
62,236.39999999999998,6,Month-to-month,No
32,970.8000000000001,14,Month-to-month,No
60,1009.8000000000001,22,Month-to-month,No
46,241.79999999999998,22,One year,No
53,771.0,16,Two year,No
30,308.4,10,Two year,No
49,672.0,13,Month-to-month,No
24,988.8000000000001,20,Month-to-month,Yes
39,836.4000000000001,2,Month-to-month,No
45,886.8000000000001,53,Two year,No
19,247.20000000000002,11,One year,No
59,238.79999999999998,69,Two year,No
62,850.8000000000001,4,Month-to-month,Yes
23,1068.6,72,Two year,No
45,543.5999999999999,58,Month-to-month,Yes
45,244.79999999999998,16,Month-to-month,No
61,1011.0,43,One year,No
61,1252.8000000000002,2,Month-to-month,Yes
37,983.4000000000001,14,Two year,No
47,1138.1999999999998,53,One year,Yes
28,246.60000000000002,32,One year,No
45,296.4,34,Month-to-month,No
42,893.4000000000001,15,Month-to-month,Yes
56,917.4000000000001,7,Month-to-month,Yes
50,1264.1999999999998,15,Month-to-month,No
18,246.60000000000002,61,One year,No
44,359.4,1,Month-to-month,Yes
30,543.5999999999999,1,Month-to-month,No
58,1014.0,8,Month-to-month,Yes
20,897.0,33,One year,No
56,951.0,13,Month-to-month,Yes
23,297.6,1,Month-to-month,Yes
25,621.5999999999999,20,Month-to-month,No
44,364.79999999999995,3,Month-to-month,No
26,235.79999999999998,13,One year,No
54,679.2,40,Month-to-month,No
50,862.8000000000001,43,One year,No
59,1092.0,6,Month-to-month,Yes
61,237.0,69,Two year,No
41,1316.4,72,Two year,No
32,231.60000000000002,59,Two year,No
49,1158.6,20,Month-to-month,No
49,289.20000000000005,24,Two year,No
41,1336.1999999999998,59,Month-to-month,No
58,1347.0,72,Two year,No
29,249.0,1,Month-to-month,No
56,1222.8000000000002,27,One year,No
19,960.5999999999999,14,Month-to-month,No
20,1266.6,71,Two year,No
54,939.5999999999999,13,Month-to-month,No
34,826.1999999999999,44,Month-to-month,No
19,959.4000000000001,33,One year,No
19,665.4000000000001,72,Two year,No
45,958.8000000000001,1,Month-to-month,Yes
40,1279.1999999999998,19,Month-to-month,Yes
54,1229.4,64,One year,No
49,552.0,2,Month-to-month,Yes
50,303.0,1,Month-to-month,No
18,237.0,61,Two year,No
36,240.0,29,One year,No
19,1041.6,23,Month-to-month,No
61,705.0,57,Month-to-month,No
43,543.0,72,Two year,No
49,679.2,66,Two year,No
23,1010.4000000000001,65,Two year,No
49,960.0,8,Month-to-month,No
21,841.8000000000001,4,Month-to-month,Yes
28,297.0,71,Two year,No
34,242.39999999999998,1,One year,No
55,600.5999999999999,4,Month-to-month,Yes
41,232.20000000000002,12,One year,No
22,607.2,24,One year,No
51,973.8000000000001,31,One year,No
23,662.4000000000001,1,Month-to-month,Yes
39,1078.8000000000002,30,Month-to-month,No
28,1023.5999999999999,47,Two year,No
33,1296.0,54,Two year,No
50,1122.0,50,Month-to-month,No
26,1015.1999999999999,1,Month-to-month,Yes
23,243.0,72,Two year,No
33,301.79999999999995,29,Month-to-month,No
46,652.8,2,Month-to-month,Yes
20,355.20000000000005,10,Two year,No
37,877.8000000000001,18,Month-to-month,No
53,1140.0,11,Month-to-month,Yes
36,237.0,16,Two year,No
43,1039.1999999999998,72,Two year,No
20,1310.4,72,Two year,No
36,896.4000000000001,41,One year,No
37,1132.8000000000002,65,Month-to-month,No
49,657.5999999999999,13,Month-to-month,No
24,904.1999999999999,4,Month-to-month,No
58,780.0,41,One year,No
50,892.8000000000001,15,Month-to-month,Yes
57,582.5999999999999,1,Month-to-month,Yes
56,1188.0,42,One year,No
35,1122.0,51,One year,No
57,844.8000000000001,2,Month-to-month,Yes
18,482.40000000000003,1,Month-to-month,Yes
28,1004.4000000000001,32,One year,No
45,238.20000000000002,10,Month-to-month,No
42,714.5999999999999,67,Two year,No
40,1381.1999999999998,61,Two year,No
48,1372.1999999999998,50,One year,No
47,535.2,2,Month-to-month,Yes
59,540.0,29,Month-to-month,No
52,493.79999999999995,3,Month-to-month,Yes
24,1282.8000000000002,13,Month-to-month,Yes
33,1078.1999999999998,57,Month-to-month,No
43,598.2,31,Two year,No
19,1359.6,45,One year,No
18,1057.1999999999998,61,Two year,No
29,298.79999999999995,50,Two year,No
22,1260.0,19,Month-to-month,No
54,232.20000000000002,59,Two year,Yes
49,291.0,71,Two year,No
26,1133.4,16,Month-to-month,Yes
58,717.0,57,Two year,No
52,297.6,1,Month-to-month,Yes
36,1284.6,20,Month-to-month,No
33,847.1999999999999,1,Month-to-month,Yes
20,1024.8000000000002,5,Month-to-month,Yes
37,1260.6,52,Month-to-month,Yes
41,779.4000000000001,21,Month-to-month,No
50,660.0,14,Month-to-month,No
41,606.5999999999999,5,Month-to-month,No
28,661.8,6,Month-to-month,No
25,614.4000000000001,10,Month-to-month,No
53,304.79999999999995,1,Month-to-month,No
55,653.4000000000001,68,Month-to-month,No
57,1141.8000000000002,18,Month-to-month,Yes
37,912.0,22,One year,No
